hour,predicted_demand,light_drones_needed,heavy_drones_needed
0,65.92571262434085,4,0
1,38.57874265045914,2,0
2,30.590614944048824,2,0
3,11.21483667132205,1,0
4,7.766116550035985,1,0
5,26.75775351038739,2,0
6,83.1190267597587,5,0
7,233.41767409734516,12,5
8,394.4018096997233,20,10
9,227.76893481412947,12,5
10,212.6291258398881,11,4
11,218.51321799796887,11,4
12,244.11466270774415,13,5
13,244.66203317925644,13,5
14,245.39525810133586,13,5
15,245.58636073091765,13,5
16,278.07049222063137,14,6
17,322.6139833209044,17,8
18,320.42864603407105,17,8
19,317.948893767297,16,8
20,226.83195066449946,12,5
21,176.83428543180526,9,3
22,137.66777065042584,7,2
23,93.83355613119919,5,0
